,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,706,630,98,170,26,107,16,.270,.339,.449,.788
8 Seasons,4740,4222,679,1170,184,581,125,.277,.342,.474,.816
