 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,438,"1,577",1,-8,10,8,11
2016,,743,"2,777",-10,-19,21,14,6
2017,,736,"2,795",3,-24,19,11,9
2018,,739,"2,915",5,-4,21,17,38
2019,,641,"2,406",1,-17,13,11,9
2020,,273,"1,153",-3,-17,9,5,-6
2021,,520,"2,095",-2,-19,16,10,6
2022,,716,"2,875",-5,-4,21,15,27
