BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenLF,3,0,0,0,1,0,0,.242,.662
"Urías, LSS",4,1,0,0,0,1,1,.284,.821
YelichDH,4,1,1,0,0,2,0,.244,.743
"Taylor, TRF",4,1,1,3,0,1,0,.242,.736
Brosseau3B,3,1,2,1,0,0,0,.314,.907
a-PetersonPH-3B,1,0,0,0,0,0,0,.207,.648
Hiura1B,3,0,1,0,1,2,1,.245,.768
Tellez1B,0,0,0,0,0,0,0,.246,.834
"Wong, Ko2B",4,0,0,0,0,0,2,.220,.671
CainCF,3,0,0,0,0,1,0,.186,.468
CaratiniC,3,0,0,0,0,2,1,.176,.526
,32,4,5,4,2,9,5,,
