PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Hill(L, 0-1)",4.2,6,4,4,2,2,2,7.00
"Valdez, P",1.1,0,0,0,0,1,0,0.00
"Crawford, K",1.2,2,4,4,5,2,0,15.75
Sawamura,1.1,1,0,0,0,1,0,3.60
,9.0,9,8,8,7,6,2,
