Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Memphis Redbirds,Triple-A,Bases Empty,,,,5,,,11.1,47,12,,,1,1,7,1.15
Springfield Cardinals,Double-A,Bases Empty,,,,2,,,6.1,29,7,,,1,3,6,1.58
Peoria Chiefs,High-A,Bases Empty,,,,1,,,4.2,17,3,,,0,0,6,0.64
Memphis Redbirds,Triple-A,Runner at 1st,,,,4,,,4.1,11,2,,,0,0,3,0.46
Springfield Cardinals,Double-A,Runner at 1st,,,,2,,,1.2,7,5,,,2,0,0,3.00
Peoria Chiefs,High-A,Runner at 1st,,,,1,,,1.1,6,2,,,0,0,1,1.50
Memphis Redbirds,Triple-A,Runners at 1st & 2nd,,,,3,,,1.1,3,0,,,0,0,0,0.00
Springfield Cardinals,Double-A,Runners at 1st & 2nd,,,,2,,,1.0,3,1,,,0,0,0,1.00
Peoria Chiefs,High-A,Runners at 1st & 3rd,,,,1,,,0.2,1,0,,,0,0,0,0.00
Memphis Redbirds,Triple-A,Runner at 2nd,,,,4,,,1.2,10,3,,,1,2,2,3.00
Springfield Cardinals,Double-A,Runner at 2nd,,,,2,,,1.1,3,1,,,0,0,1,0.75
Memphis Redbirds,Triple-A,Runners at 2nd & 3rd,,,,1,,,0.1,1,0,,,0,0,1,0.00
Peoria Chiefs,High-A,Runners at 2nd & 3rd,,,,1,,,0.1,2,1,,,0,0,1,3.00
Memphis Redbirds,Triple-A,Runner at 3rd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Springfield Cardinals,Double-A,Runner at 3rd,,,,1,,,0.0,1,1,,,0,0,0,-.--
Memphis Redbirds,Triple-A,Scoring Position,,,,4,,,3.2,15,3,,,1,2,3,1.36
Springfield Cardinals,Double-A,Scoring Position,,,,2,,,2.1,7,3,,,0,0,1,1.29
Peoria Chiefs,High-A,Scoring Position,,,,1,,,1.0,3,1,,,0,0,1,1.00
