Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Memphis Redbirds,Triple-A,First Inning,,,7.20,5,,,5.0,22,6,4,4,2,1,5,1.40
Springfield Cardinals,Double-A,First Inning,,,0.00,2,,,2.0,7,1,0,0,0,0,1,0.50
Peoria Chiefs,High-A,First Inning,,,9.00,1,,,1.0,4,2,1,1,0,0,0,2.00
Memphis Redbirds,Triple-A,Second Inning,,,0.00,5,,,5.0,17,3,0,0,0,0,5,0.60
Springfield Cardinals,Double-A,Second Inning,,,13.50,2,,,2.0,9,3,3,3,2,1,2,2.00
Peoria Chiefs,High-A,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,1,0.00
Memphis Redbirds,Triple-A,Third Inning,,,2.08,5,,,4.1,18,6,1,1,0,1,2,1.62
Springfield Cardinals,Double-A,Third Inning,,,13.50,2,,,2.0,11,6,3,3,1,1,1,3.50
Peoria Chiefs,High-A,Third Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Memphis Redbirds,Triple-A,Fourth Inning,,,0.00,3,,,3.0,10,1,0,0,0,1,1,0.67
Springfield Cardinals,Double-A,Fourth Inning,,,9.00,2,,,2.0,8,4,2,2,0,0,1,2.00
Peoria Chiefs,High-A,Fourth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Memphis Redbirds,Triple-A,Fifth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,0,0.00
Springfield Cardinals,Double-A,Fifth Inning,,,0.00,2,,,1.2,5,0,0,0,0,1,0,0.60
Peoria Chiefs,High-A,Fifth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,1,0.00
Memphis Redbirds,Triple-A,Sixth Inning,,,0.00,1,,,1.0,3,1,0,0,0,0,0,1.00
Springfield Cardinals,Double-A,Sixth Inning,,,0.00,1,,,0.2,3,1,0,0,0,0,2,1.50
Peoria Chiefs,High-A,Sixth Inning,,,18.00,1,,,1.0,6,3,2,2,0,0,1,3.00
Peoria Chiefs,High-A,Seventh Inning,,,0.00,1,,,1.0,4,1,0,0,0,0,1,1.00
