,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,558,485,73,104,17,57,5,.214,.305,.392,.697
4 Seasons,1726,1516,251,367,73,218,13,.242,.326,.465,.791
