 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,514,17.2,19.5%,1.0%,240,23.5,2.1%,12.9%
2020,,317,18.0,15.5%,3.8%,170,24.7,0.0%,19.4%
2021,,630,18.5,9.5%,3.3%,359,24.4,0.0%,18.1%
2022,,740,18.1,11.8%,3.2%,454,23.2,1.1%,11.7%
