Season,Team,Pos,PA,Depth (ft.),Angle
2019,SF,8,134,319,1
2019,SF,7,1763,299,-27
2019,SF,9,1592,298,27
2020,SF,9,953,295,27
2020,SF,7,92,297,-27
2020,SF,8,821,318,0
2021,SF,9,3450,290,27
2021,SF,8,912,325,-1
2022,SF,8,2378,325,0
2022,SF,9,2363,295,26
