 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,410,"1,631",-2,-8,11,6,7
2020,,223,940,2,8,8,6,24
2021,,541,"2,156",-11,-21,18,13,-2
2022,,558,"2,349",-9,-16,17,8,-2
