PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L",6.0,4,1,1,1,10,1,2.85
"Castillo. D(H, 6)",1.0,0,0,0,0,2,0,3.30
"Muñoz, A(L, 2-5)(BS, 3)",1.0,2,3,3,1,0,0,2.94
Festa,1.0,0,0,0,0,0,0,3.60
,9.0,6,4,4,2,12,1,
