PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F(W, 8-3)",8.0,6,0,0,2,5,0,2.65
"Paredes, E",1.0,2,1,1,2,0,0,9.00
,9.0,8,1,1,4,5,0,
