PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Carrasco(L, 8-4)",4.1,6,6,6,3,4,1,4.85
Shreve,0.1,3,3,3,0,0,2,6.58
Williams,2.1,1,0,0,2,4,0,3.64
Medina,2.0,2,0,0,0,2,0,3.94
,9.0,12,9,9,5,10,3,
