PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cease(W, 5-3)",5.0,7,1,0,1,8,0,2.91
Lambert,2.0,1,0,0,0,2,0,3.09
"Kelly, J",1.0,0,0,0,0,2,0,8.10
"López, R",1.0,1,0,0,0,2,0,3.62
,9.0,9,1,0,1,14,0,
