PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(W, 6-7)",6.0,4,0,0,3,8,0,3.87
"Hill, T",0.2,0,0,0,1,1,0,2.82
"García, L",1.1,2,1,0,0,1,0,3.38
"Martinez, N(S, 8)",1.0,1,2,2,1,1,1,3.18
,9.0,7,3,2,5,11,1,
