PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Gutierrez(L, 0-1)",4.1,6,2,2,2,4,0,4.15
Strickland,1.2,0,0,0,0,1,0,0.00
Wilson,0.2,1,0,0,0,1,0,0.00
Hendrix,0.1,1,0,0,1,0,0,0.00
Moreta,1.0,0,0,0,1,1,0,9.00
,8.0,8,2,2,4,7,0,
