PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 1-0)",6.0,2,0,0,1,6,0,0.00
"Minter(H, 1)",1.0,0,0,0,0,1,0,5.40
"O'Day(H, 1)",1.0,0,0,0,0,1,0,0.00
"Smith, W.M.(S, 1)",1.0,1,1,1,1,1,0,4.50
,9.0,3,1,1,2,9,0,
