BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Wong, Ko2B",3,0,0,0,1,0,2,.224,.676
McCutchenLF,3,0,0,0,1,1,3,.205,.551
"Taylor, TRF",4,0,1,0,0,1,1,.238,.727
Tellez1B,3,0,2,0,1,1,1,.256,.809
HiuraDH,4,0,0,0,0,4,4,.224,.764
CainCF,4,0,0,0,0,2,4,.169,.450
Peterson3B,4,0,1,0,0,1,0,.237,.767
"Reyes, PSS",4,0,1,0,0,0,1,.167,.453
"Jackson, AC",4,0,1,0,0,2,2,.250,.500
,33,0,6,0,3,12,18,,
