BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,1,0,1,2,.231,.716
Cronenworth1B,4,1,2,3,0,1,0,.212,.629
"Machado, M3B",4,0,1,0,0,0,1,.342,.983
VoitDH,4,0,0,0,0,4,1,.225,.691
AlfaroC,4,0,0,0,0,2,0,.262,.721
KimSS,4,0,0,0,0,1,0,.215,.652
AzocarRF,3,1,1,0,0,1,0,.277,.687
GrishamCF,3,1,2,0,0,0,0,.176,.587
"Alcántara, Se2B",3,1,0,0,0,0,3,.156,.454
,33,4,6,4,0,10,7,,
