PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Ashby(L, 1-4)",6.0,6,4,4,0,9,1,3.13
Gott,1.0,0,0,0,0,0,0,3.15
"Sánchez, M",1.0,0,0,0,0,0,0,1.17
Kelley,1.0,0,0,0,0,1,0,8.10
,9.0,6,4,4,0,10,1,
