PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Eovaldi(W, 4-2)",5.0,6,0,0,0,5,0,3.16
"Danish(H, 1)",1.0,1,0,0,0,0,0,3.32
"Diekman(H, 10)",1.0,0,0,0,0,1,0,3.60
"Schreiber(H, 7)",1.1,0,0,0,0,1,0,1.08
"Strahm(S, 3)",0.2,0,0,0,0,1,0,3.78
,9.0,7,0,0,0,8,0,
