PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 16-3)",6.0,0,0,0,0,10,0,1.87
"Stanek(H, 13)",1.0,1,0,0,0,2,0,1.28
"Smith, W.M.",0.1,2,0,0,0,1,0,4.40
"Neris(H, 20)",1.1,3,2,2,1,2,0,3.68
"Abreu, B(S, 2)",0.1,0,0,0,1,1,0,2.27
,9.0,6,2,2,2,16,0,
