BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B,3,1,0,0,1,0,0,.324,.823
CorreaSS,4,0,1,0,0,2,1,.269,.780
Polanco2B,4,1,1,0,0,2,1,.236,.745
MirandaDH,4,0,1,1,0,1,1,.280,.790
GordonCF,2,0,0,0,0,2,0,.275,.738
CelestinoCF,2,0,0,0,0,1,3,.255,.643
KeplerRF,4,0,2,1,0,2,1,.230,.681
Urshela3B,3,0,1,0,1,1,1,.266,.739
CaveLF,4,0,0,0,0,4,5,.158,.516
SanchezC,3,0,0,0,0,1,2,.215,.667
,33,2,6,2,2,16,15,,
