PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Bundy,5.2,5,1,1,1,6,1,4.54
"Jax(H, 4)",0.2,0,0,0,2,0,0,3.43
"Smith, Joe(H, 9)",0.2,0,0,0,0,0,0,0.61
"Pagán(BS, 2)",1.0,1,1,1,1,1,1,2.30
Thielbar,1.0,1,0,0,2,1,0,5.82
"Megill(L, 0-1)",1.0,1,2,1,0,1,1,3.38
,10.0,8,4,3,6,9,3,
