PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Clevinger(L, 2-1)",6.0,6,4,4,2,5,1,3.34
"García, L",2.0,1,0,0,0,2,0,3.41
Rogers,1.0,4,2,2,0,1,0,3.48
,9.0,11,6,6,2,8,1,
