BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",5,1,2,0,0,3,1,.277,.823
"Crawford, JSS",4,0,1,2,0,0,0,.267,.738
"Suárez, E3B",5,0,0,0,0,1,3,.236,.755
Santana1B,4,0,1,0,0,0,0,.219,.682
RaleighC,4,0,1,0,0,1,1,.195,.723
ToroDH,3,1,0,0,1,1,1,.185,.570
Frazier2B,4,1,1,0,0,1,0,.219,.577
"Moore, DRF",3,1,2,2,1,1,0,.184,.698
HaggertyLF,4,2,3,2,0,0,0,.303,.828
,36,6,11,6,2,8,6,,
