Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,136,0,0.0,.294,
2017,R,561,8,1.4,.340,.438
2018,R,573,18,3.1,.325,.269
2019,R,602,58,9.6,.366,.308
2020,R,230,31,13.5,.256,.440
2021,R,603,18,3.0,.357,.570
2022,R,582,25,4.3,.281,.310
