Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,32,27.3,4.34,,18,13,268,61.0
2017,33,26.9,4.36,1,15,9,348,48.3
2018,34,27.6,4.32,1,9,5,245,63.5
2019,35,27.6,4.32,,5,2,222,67.6
2020,36,27.3,4.48,,6,2,195,61.2
2021,37,27.0,4.42,,15,2,335,50.5
2022,38,26.9,4.45,,13,1,373,40.3
