Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,24.2,3,3.2,0,2,0,3,100.0
2017,,25.3,20,20.3,0,13,16,9,45.0
2018,,25.2,14,11.3,3,12,9,4,28.6
2019,,25.1,33,27.5,6,16,19,15,45.5
2020,,25.0,6,6.6,-1,5,7,2,33.3
2021,,26.2,16,16.0,0,10,12,6,37.5
2022,,26.1,10,8.9,1,9,9,1,10.0
Player,,25.4,102,93.8,8,67,72,40,39.2
