,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,584,545,53,132,8,53,8,.242,.288,.360,.648
7 Seasons,3305,3046,400,866,94,435,23,.284,.328,.448,.776
