Season,Team,Pos,PA,Depth (ft.),Angle
2016,HOU,7,34,299,-28
2016,HOU,3,150,112,36
2016,HOU,5,729,115,-31
2017,HOU,3,4611,109,35
2017,HOU,4,28,143,15
2017,HOU,5,221,116,-29
2018,HOU,4,433,146,14
2018,HOU,3,3562,111,35
2018,HOU,5,515,117,-29
2018,HOU,6,32,146,-6
2019,HOU,3,3527,114,36
2019,HOU,4,103,148,12
2019,HOU,5,1392,118,-28
2020,HOU,3,1990,113,36
2021,HOU,5,7,130,-22
2021,HOU,3,5127,113,34
2022,HOU,3,4966,114,35
