PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 8-7)",4.1,7,7,7,3,4,2,4.50
"Hernandez, D",0.2,1,1,1,0,1,1,5.40
Ort,1.0,1,2,2,2,2,1,4.91
Sawamura,1.0,0,0,0,1,0,0,2.62
"Davis, A",0.1,3,4,4,2,1,0,3.44
Diekman,0.2,0,0,0,0,1,0,3.58
,8.0,12,14,14,8,9,4,
