BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,4,0,0,0,0,0,2,.245,.692
Moncada3B,4,0,2,0,0,1,0,.201,.586
"Abreu, J1B",3,0,1,0,0,2,1,.309,.837
"Jiménez, EDH",4,0,2,0,0,0,3,.296,.822
"1-Garcia, LePR-DH",0,0,0,0,0,0,0,.215,.512
SheetsRF,3,0,0,0,1,1,4,.252,.738
PollockLF,4,0,0,0,0,2,6,.239,.671
Robert Jr.CF,2,0,0,0,0,2,0,.295,.775
EngelCF,2,0,1,0,0,1,0,.230,.602
GrandalC,3,0,0,0,1,3,0,.203,.576
"Gonzalez, R2B",4,0,1,0,0,2,1,.294,.707
,33,0,7,0,2,14,17,,
