PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(L, 7-7)",6.0,5,1,1,3,3,0,2.87
Lambert,1.0,0,0,0,0,1,0,2.61
"López, R",1.0,1,2,2,1,0,1,3.15
,8.0,6,3,3,4,4,1,
