PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Ragans(L, 0-1)",4.1,6,5,5,3,1,2,4.82
King,1.2,1,0,0,0,1,0,4.36
"Richards, G",2.0,3,2,2,0,3,0,5.53
,8.0,10,7,7,3,5,2,
