BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MendickSS,4,1,1,0,0,1,0,.313,.791
VaughnLF-RF,3,0,0,0,1,1,1,.299,.847
1-EngelPR-RF,0,0,0,0,0,0,0,.248,.661
Robert Jr.CF,4,0,0,0,0,1,2,.288,.747
"Abreu, J1B",4,1,2,0,0,0,1,.260,.777
SheetsRF,2,0,0,0,0,0,1,.203,.592
a-PollockPH-LF,2,1,1,2,0,0,0,.220,.600
BurgerDH,3,1,1,1,0,1,0,.248,.737
Moncada3B,3,0,1,0,1,0,0,.143,.419
McGuireC,3,0,1,1,0,1,3,.223,.523
Harrison2B,3,0,0,0,0,1,5,.176,.527
,31,4,7,4,2,6,13,,
