PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Gonsolin,6.0,3,1,1,1,7,1,1.62
"Vesia(H, 5)",1.0,1,0,0,0,2,0,2.25
"Bruihl(H, 2)",0.1,0,0,0,1,0,0,2.45
"Almonte(BS, 1)",1.2,2,1,1,1,2,0,1.50
"Phillips, E(L, 1-2)(BS, 2)",0.2,2,2,0,0,1,0,2.81
,9.2,8,4,2,3,12,1,
