PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Kluber(W, 2-2)",6.0,4,1,1,0,4,1,3.73
"Adam(H, 6)",0.1,2,0,0,0,1,0,0.83
"Raley, B(H, 7)",0.2,0,0,0,0,2,0,2.57
"Armstrong(H, 1)",0.2,0,0,0,0,0,0,8.31
"Feyereisen(H, 7)",0.1,0,0,0,1,0,0,0.00
"Thompson, R(S, 3)",1.0,0,0,0,0,0,0,6.50
,9.0,6,1,1,1,7,1,
