PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Hearn(L, 3-4)",4.0,6,3,3,4,3,0,5.48
"Richards, G",2.0,1,0,0,1,1,0,4.24
Burke,2.0,2,0,0,1,0,0,1.01
"Martin, B",1.0,0,0,0,1,0,0,4.42
,9.0,9,3,3,7,4,0,
