BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Smith, Josh3B",3,0,1,0,0,0,0,.444,1.171
SemienSS,4,1,1,1,0,1,2,.194,.539
CalhounRF,3,0,0,0,1,0,1,.255,.759
GarverDH,4,0,0,0,0,2,3,.217,.711
HeimC,4,0,2,0,0,0,0,.263,.807
"García, AdCF",4,0,2,0,0,0,0,.232,.703
"Lowe, N1B",2,0,0,0,0,1,1,.261,.691
a-HuffPH-1B,2,0,0,0,0,1,2,.370,.874
ReksLF,2,0,0,0,0,0,1,.227,.500
"b-White, EPH-LF",1,0,0,0,0,1,2,.218,.609
Culberson2B,3,0,0,0,0,1,0,.220,.504
,32,1,6,1,1,7,12,,
