PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Ashby(W, 1-3)",6.0,5,1,1,2,12,1,2.70
"Boxberger(H, 11)",2.0,1,0,0,0,2,0,2.45
"Hader(S, 18)",1.0,0,0,0,0,1,0,0.00
,9.0,6,1,1,2,15,1,
