PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Smyly,3.0,0,0,0,1,3,0,3.80
"Espinoza(L, 0-1)",4.0,2,2,2,3,6,1,4.50
Hughes,2.0,1,1,1,0,2,1,3.00
,9.0,3,3,3,4,11,2,
