PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Montas(L, 2-3)",6.1,7,4,4,3,4,1,3.77
Snead,1.2,4,2,2,1,2,0,6.00
Kolarek,1.0,1,0,0,0,0,0,3.60
,9.0,12,6,6,4,6,1,
