BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrossmanRF,4,1,0,1,1,3,3,.241,.651
MeadowsDH,4,1,1,0,1,0,1,.284,.757
"Báez, JSS",5,1,1,0,0,0,2,.235,.649
Candelario3B,5,0,3,3,0,1,0,.214,.594
"Castro, H1B",5,0,0,0,0,0,3,.294,.668
Schoop2B,3,2,2,1,1,1,1,.154,.440
"Castro, WLF",4,1,3,0,0,0,1,.310,.734
BarnhartC,4,0,2,0,0,0,2,.279,.644
"Hill, DCF",1,0,0,1,1,1,0,.235,.535
,35,6,12,6,4,6,13,,
