BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,1,1,1,1,1,0,.268,.770
"Marte, SRF",3,1,1,1,0,1,1,.278,.768
LindorSS,4,0,2,0,0,1,1,.243,.731
AlonsoDH,3,0,0,1,0,3,1,.282,.913
Guillorme2B,4,0,2,0,0,0,0,.333,.809
CanhaLF,3,0,0,0,1,1,1,.286,.765
Escobar3B,4,0,1,0,0,1,4,.231,.684
"Smith, Do1B",4,1,1,0,0,2,4,.198,.567
NidoC,3,0,0,0,0,0,2,.219,.499
"a-Davis, JPH",1,0,0,0,0,1,0,.246,.681
,32,3,8,3,2,11,14,,
