PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Carrasco(L, 8-3)",2.1,4,5,5,2,2,3,4.42
"Lopez, Y",2.2,1,0,0,0,1,0,4.05
Hunter,1.1,1,0,0,0,2,0,0.00
"Rodríguez, J",1.1,0,0,0,0,1,0,4.76
Díaz,0.1,1,0,0,0,1,0,2.28
,8.0,7,5,5,2,7,3,
