PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L(W, 5-5)",5.0,6,3,3,1,5,0,3.68
"Stanek(H, 7)",1.0,1,0,0,1,1,0,0.75
"Neris(H, 14)",1.0,0,0,0,0,1,0,3.99
"Montero(H, 10)",1.0,1,0,0,0,2,0,1.95
"Pressly(S, 14)",1.0,0,0,0,0,2,0,2.41
,9.0,8,3,3,2,11,0,
