BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,1,1,0,1,1,4,.260,.749
AdamesSS,4,1,2,4,1,0,3,.237,.769
Tellez1B,4,0,0,1,0,1,5,.226,.778
RenfroeRF,5,1,2,0,0,2,1,.254,.805
"Wong, Ko2B",5,0,1,0,0,1,1,.247,.741
McCutchenDH,3,0,0,0,2,2,3,.241,.706
Peterson3B,3,1,0,0,2,2,3,.253,.744
NarváezC,4,1,2,0,0,0,1,.218,.635
1-HiuraPR,0,1,0,0,0,0,0,.236,.798
CaratiniC,0,0,0,0,1,0,0,.202,.661
MitchellCF,4,1,2,1,1,1,3,.182,.592
,36,7,10,6,8,10,24,,
