PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T(W, 6-2)",6.0,8,3,3,2,5,0,3.03
"Smith, Dr(H, 14)",0.2,0,0,0,3,2,0,1.99
"Ottavino(H, 9)",1.1,1,0,0,0,0,0,2.60
"Díaz(S, 15)",1.0,2,0,0,0,0,0,2.20
,9.0,11,3,3,5,7,0,
