BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RefsnyderRF,5,0,1,1,0,1,1,.391,.942
Devers3B,2,0,1,0,1,0,0,.330,.986
MartinezDH,4,0,0,0,0,3,4,.336,.952
BogaertsSS,3,0,0,0,1,2,0,.337,.895
VerdugoLF,3,2,2,0,1,0,0,.247,.647
Story2B,3,2,1,1,1,0,4,.221,.715
VázquezC,4,2,2,3,0,0,1,.271,.703
Bradley Jr.CF,4,0,1,1,0,0,1,.233,.615
Dalbec1B,4,0,1,0,0,2,2,.205,.616
,32,6,9,6,4,8,13,,
