PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(L, 0-1)",4.2,2,1,1,1,3,1,1.93
"Sánchez, C",2.2,0,1,1,2,3,0,3.38
Brogdon,0.2,1,0,0,0,0,0,0.00
Familia,1.0,0,0,0,0,2,0,0.00
,9.0,3,2,2,3,8,1,
