BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,3,2,2,0,0,0,0,.288,.848
SwansonSS,5,1,4,3,0,0,1,.300,.865
Olson1B,5,1,1,0,0,2,5,.252,.823
Riley3B,4,2,2,3,1,2,2,.260,.844
d'ArnaudC,4,1,1,0,1,1,2,.268,.804
OzunaLF,4,0,0,0,0,0,3,.223,.679
HerediaRF,1,0,0,0,0,0,2,.127,.577
DuvallRF-LF,4,1,1,1,0,0,1,.205,.646
Arcia2B,4,0,1,2,0,1,1,.275,.745
"Harris II, MCF",3,1,0,0,1,0,1,.316,.857
,37,9,12,9,3,6,18,,
