PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(W, 8-2)",7.0,5,1,1,0,4,0,2.66
McHugh,1.0,1,0,0,0,1,0,3.09
Bracho,1.0,0,0,0,0,0,0,0.00
,9.0,6,1,1,0,5,0,
