BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Machín3B,2,1,0,1,1,0,1,.211,.547
LaureanoCF-RF,3,1,0,0,1,2,0,.232,.726
"Murphy, SC",3,0,1,0,1,0,0,.241,.727
"Brown, S1B",4,0,1,0,0,1,3,.227,.698
PinderLF,3,0,0,1,0,2,3,.242,.658
AndrusSS,3,0,1,0,1,0,4,.228,.656
PiscottyRF,4,0,1,0,0,0,4,.186,.544
BoltCF,0,0,0,0,0,0,0,.191,.574
"Garcia, DerDH",3,0,1,0,0,1,2,.385,.923
"Allen, N2B",3,1,1,0,0,0,3,.198,.531
,28,3,6,2,4,6,20,,
