PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Hutchison(L, 0-4)",4.0,5,2,2,2,1,0,4.58
"Peralta, Wi",1.0,2,2,2,0,1,0,2.05
"Alexander, T",2.0,3,1,1,0,1,0,8.16
Vest,1.0,1,0,0,1,0,0,1.57
"Soto, G",1.0,1,0,0,0,1,0,1.96
,9.0,12,5,5,3,4,0,
