PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Eovaldi,6.0,8,2,2,2,3,1,4.15
"Barnes, M",1.0,1,0,0,0,2,0,6.75
Brasier,1.0,0,0,0,0,0,0,5.32
"Whitlock(W, 3-2)",2.0,0,0,0,1,3,0,3.03
,10.0,9,2,2,3,8,1,
