PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Senzatela(W, 1-0)",5.0,7,1,1,0,2,0,2.16
Chacín,1.1,4,4,3,0,0,0,4.76
"Lawrence(H, 1)",1.2,1,1,1,1,1,0,1.80
"Bard, D(S, 4)",1.0,1,0,0,0,1,0,3.60
,9.0,13,6,5,1,4,0,
