PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Kershaw(W, 4-0)",7.0,5,0,0,1,2,0,1.80
Bickford,1.0,0,0,0,0,2,0,2.57
Moronta,1.0,0,0,0,1,1,0,1.80
,9.0,5,0,0,2,5,0,
