PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Houser(L, 0-2)",5.2,4,1,1,3,4,0,2.89
Gott,1.1,1,0,0,0,1,0,0.00
Cousins,1.0,2,1,1,0,0,0,4.50
Suter,1.0,1,0,0,0,1,0,6.75
,9.0,8,2,2,3,6,0,
