BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenDH,4,0,1,0,0,1,0,.250,.622
AdamesSS,4,0,1,0,0,2,1,.206,.642
RenfroeRF,4,0,1,0,0,2,2,.212,.551
Hiura1B,3,0,0,0,0,2,1,.200,.533
a-TellezPH,1,0,0,0,0,0,1,.304,.907
"Taylor, TLF",3,0,0,0,0,1,0,.111,.367
CainCF,3,0,0,0,0,0,0,.158,.361
"Wong, Ko2B",3,0,1,0,0,2,0,.219,.586
Brosseau3B,3,0,0,0,0,0,1,.154,.599
CaratiniC,3,1,1,1,0,0,0,.308,1.015
,31,1,5,1,0,10,6,,
