PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gonzales(L, 5-10)",5.2,9,5,5,1,2,3,3.74
Murfee,1.1,1,0,0,0,0,0,2.56
Festa,1.0,0,0,0,0,1,0,3.51
"Swanson, E",1.0,0,0,0,0,1,0,1.00
,9.0,10,5,5,1,4,3,
