BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeCF-RF,3,0,1,0,1,1,1,.312,1.102
StantonDH,4,0,0,0,0,4,3,.212,.751
Torres2B,4,0,1,0,0,1,3,.247,.732
Donaldson3B,4,1,1,1,0,0,1,.222,.698
AndújarLF,4,0,0,0,0,1,0,.229,.531
"Cabrera, ORF-1B",4,0,0,0,0,3,1,.206,.563
PerazaSS,2,0,1,0,0,0,1,.261,.741
HigashiokaC,3,0,0,0,0,1,3,.198,.586
Gonzalez1B,0,0,0,0,0,0,0,.193,.597
"a-Hicks, APH-CF",3,0,1,0,0,1,1,.213,.624
,31,1,5,1,1,12,14,,
