PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Ohtani,6.0,2,1,1,2,5,1,2.78
Herget,1.0,0,0,0,0,2,0,3.86
Tepera,1.0,1,1,1,0,0,0,2.35
"Iglesias, R",1.0,0,0,0,1,1,0,2.31
"Loup(L, 0-2)",1.0,2,2,1,0,2,0,1.93
,10.0,5,4,3,3,10,1,
