BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MarshLF,5,0,1,0,0,2,3,.264,.749
Rengifo2B,4,0,1,0,0,2,1,.333,.844
WallachC,0,0,0,0,0,0,0,.222,.778
OhtaniP-DH,4,0,1,0,0,1,1,.258,.762
Rendon3B,4,0,0,0,0,2,1,.198,.662
Walsh1B,4,0,0,0,0,2,1,.265,.774
WhitefieldCF,4,0,0,0,0,1,0,.000,.000
"Mayfield, JRF-2B",3,0,1,0,1,1,1,.232,.622
RomineC,2,0,1,0,0,1,1,.500,1.000
a-WadePH-SS,1,1,0,0,0,0,1,.283,.688
c-TroutPH,0,0,0,0,1,0,0,.337,1.188
"Velazquez, ASS",2,0,0,0,0,2,2,.171,.482
b-WardPH-RF,2,1,1,2,0,0,2,.367,1.199
,35,2,6,2,2,14,14,,
